day,TX
2011-04-01,NA
2011-04-02,NA
2011-04-03,NA
2011-04-04,NA
2011-04-05,NA
2011-04-06,NA
2011-04-07,NA
2011-04-08,NA
2011-04-09,NA
2011-04-10,NA
2011-04-11,NA
2011-04-12,NA
2011-04-13,NA
2011-04-14,NA
2011-04-15,NA
2011-04-16,NA
2011-04-17,NA
2011-04-18,NA
2011-04-19,NA
2011-04-20,NA
2011-04-21,NA
2011-04-22,NA
2011-04-23,NA
2011-04-24,NA
2011-04-25,NA
2011-04-26,NA
2011-04-27,NA
2011-04-28,NA
2011-04-29,NA
2011-04-30,31.35333333333334
2011-05-01,31.40333333333334
2011-05-02,31.428333333333338
2011-05-03,31.435000000000002
2011-05-04,31.453333333333333
2011-05-05,31.445
2011-05-06,31.435000000000002
2011-05-07,31.470000000000006
2011-05-08,31.49833333333334
2011-05-09,31.64166666666667
2011-05-10,31.618333333333336
2011-05-11,31.77166666666667
2011-05-12,31.770000000000003
2011-05-13,31.613333333333337
2011-05-14,31.605000000000004
2011-05-15,31.59
2011-05-16,31.573333333333334
2011-05-17,31.495
2011-05-18,31.465
2011-05-19,31.37666666666667
2011-05-20,31.360000000000003
2011-05-21,31.33166666666667
2011-05-22,31.245000000000005
2011-05-23,31.181666666666672
2011-05-24,31.130000000000006
2011-05-25,31.115000000000006
2011-05-26,31.070000000000004
2011-05-27,31.038333333333338
2011-05-28,31.008333333333333
2011-05-29,31.014999999999997
2011-05-30,30.91
2011-05-31,30.846666666666668
2011-06-01,30.745
2011-06-02,30.76
2011-06-03,30.74666666666667
2011-06-04,30.72166666666667
2011-06-05,30.705000000000002
2011-06-06,30.736666666666668
2011-06-07,30.738333333333333
2011-06-08,30.758333333333333
2011-06-09,30.816666666666666
2011-06-10,30.83
2011-06-11,30.831666666666663
2011-06-12,31.019999999999996
2011-06-13,31.046666666666663
2011-06-14,31.04
2011-06-15,31.069999999999997
2011-06-16,31.101666666666663
2011-06-17,31.069999999999997
2011-06-18,31.124999999999996
2011-06-19,31.141666666666662
2011-06-20,31.14666666666666
2011-06-21,31.27666666666666
2011-06-22,31.324999999999996
2011-06-23,31.33333333333333
2011-06-24,31.35833333333333
2011-06-25,31.348333333333333
2011-06-26,31.361666666666668
2011-06-27,31.365000000000002
2011-06-28,31.28666666666667
2011-06-29,31.31
2011-06-30,31.32
2011-07-01,31.470000000000002
2011-07-02,31.498333333333335
2011-07-03,31.558333333333334
2011-07-04,31.561666666666667
2011-07-05,31.62333333333333
2011-07-06,31.538333333333334
2011-07-07,31.540000000000003
2011-07-08,31.470000000000002
2011-07-09,31.486666666666668
2011-07-10,31.465
2011-07-11,31.470000000000002
2011-07-12,31.493333333333336
2011-07-13,31.515
2011-07-14,31.509999999999998
2011-07-15,31.501666666666665
2011-07-16,31.511666666666667
2011-07-17,31.503333333333334
2011-07-18,31.52
2011-07-19,31.540000000000003
2011-07-20,31.575
2011-07-21,31.543333333333337
2011-07-22,31.576666666666668
2011-07-23,31.55666666666667
2011-07-24,31.56666666666667
2011-07-25,31.595000000000002
2011-07-26,31.595000000000002
2011-07-27,31.62666666666667
2011-07-28,31.663333333333338
2011-07-29,31.713333333333335
2011-07-30,31.725
2011-07-31,31.75
2011-08-01,31.763333333333332
2011-08-02,31.635
2011-08-03,31.75
2011-08-04,31.830000000000002
2011-08-05,31.965
2011-08-06,32.025
2011-08-07,32.14833333333333
2011-08-08,32.18666666666667
2011-08-09,32.25833333333333
2011-08-10,32.35333333333333
2011-08-11,32.361666666666665
2011-08-12,32.35333333333333
2011-08-13,32.405
2011-08-14,32.461666666666666
2011-08-15,32.54833333333333
2011-08-16,32.63666666666667
2011-08-17,32.66833333333333
2011-08-18,32.73166666666666
2011-08-19,32.765
2011-08-20,32.81833333333333
2011-08-21,32.855
2011-08-22,32.955
2011-08-23,33.01499999999999
2011-08-24,33.035
2011-08-25,33.05499999999999
2011-08-26,33.05499999999999
2011-08-27,33.13999999999999
2011-08-28,33.199999999999996
2011-08-29,33.26333333333333
2011-08-30,33.28666666666666
2011-08-31,33.33
2011-09-01,33.504999999999995
2011-09-02,33.516666666666666
2011-09-03,33.508333333333326
2011-09-04,33.508333333333326
2011-09-05,33.45166666666666
2011-09-06,33.449999999999996
2011-09-07,33.453333333333326
2011-09-08,33.463333333333324
2011-09-09,33.45166666666666
2011-09-10,33.48833333333332
2011-09-11,33.356666666666655
2011-09-12,33.36499999999999
2011-09-13,33.34333333333333
2011-09-14,33.25666666666665
2011-09-15,33.22666666666665
2011-09-16,33.258333333333326
2011-09-17,33.25499999999999
2011-09-18,33.24499999999999
2011-09-19,33.184999999999995
2011-09-20,33.19833333333333
2011-09-21,33.21166666666666
